Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
143,CHI,"Kyle Monangai",RB,17,9.04,5,0%,0%,135.8,132,149,256.6,10.3
144,CLE,"Denzel Boston",WR,17,15.09,9,0%,0%,124.8,128,145,261.3,10
145,MIN,"Aaron Jones",RB,17,11.10,6,0%,65%,120.6,164,155,248.9,9.6
146,SEA,"Rashid Shaheed",WR,17,16.06,8,0%,82%,132.7,135,147,247.6,9.6
147,UNS,"Keenan Allen",WR,17,21.02,18,-,94%,115.1,126,156,241.1,9.5
148,BUF,"Dalton Kincaid",TE,17,9.06,7,0%,77%,150.4,150,162,218.3,9.4
149,TB,"Kenneth Gainwell",RB,17,11.11,9,0%,52%,132.4,135,152,241.9,9.3
150,DEN,"Denver Broncos",DEF,17,24.10,12,0%,0%,119.8,88,120,119.8,9.3
151,TEN,"Tyjae Spears",RB,17,14.12,10,0%,44%,132.5,123,152,240.7,9.2
152,MIN,"Jordan Mason",RB,17,13.11,6,0%,88%,126.6,127,149,247.2,8.9
153,BAL,"Mark Andrews",TE,17,10.08,7,0%,49%,148.6,147,162,214.8,8.7
154,DAL,"Jake Ferguson",TE,17,10.09,10,0%,83%,159.7,158,165,199.3,8.4
155,NE,"New England Patriots",DEF,17,23.10,14,0%,0%,114.7,77,115,114.7,8.4
156,CAR,"Jalen Coker",WR,17,13.09,14,0%,6%,130.2,129,145,241.6,8.3
157,HOU,"Houston Texans",DEF,17,24.07,6,0%,0%,117.4,88,117,117.4,8.3
158,SEA,"Seattle Seahawks",DEF,17,23.04,8,0%,0%,117.4,77,117,117.4,8.3
159,UNS,"Tyreek Hill",WR,10,15.03,18,-,41%,78.9,149,144,275.5,8.1
160,LAR,"Blake Corum",RB,17,9.12,8,0%,32%,127.7,120,134,262.2,7.7
161,CAR,"Jonathon Brooks",RB,17,17.01,14,0%,44%,107.9,67,127,284.5,7.1
162,HOU,"Ka'imi Fairbairn",K,17,303.02,6,0%,0%,148.6,157,160,177.4,6.9
163,PHI,"Dallas Goedert",TE,17,10.06,9,0%,70%,146.9,147,160,207.5,6.8
164,CLE,"Jerry Jeudy",WR,17,16.03,9,0%,55%,118.3,150,138,247.5,6.7
165,MIN,"Jauan Jennings",WR,17,12.09,6,0%,85%,116,147,132,257.1,6.4
166,PIT,"Germie Bernard",WR,17,19.11,5,0%,0%,119.1,98,135,246.3,6.2
167,LAC,"Tre Harris",WR,17,17.11,12,0%,49%,117.8,106,131,255.3,6.1
168,GB,"Green Bay Packers",DEF,17,24.08,5,0%,0%,113.4,80,113,113.4,6
169,LVR,"Tre Tucker",WR,17,18.09,8,0%,0%,119.6,103,137,233.6,5.4
170,JAC,"Cam Little",K,17,483.09,8,0%,0%,146.9,146,153,180.5,5.2
171,HOU,"Woody Marks",RB,17,13.04,6,0%,0%,119.7,93,132,244.7,5.1
172,NYJ,"Adonai Mitchell",WR,17,16.07,9,0%,12%,118.1,79,128,250.2,5.1
173,LAC,"Oronde Gadsden II",TE,17,9.10,12,0%,0%,140.8,138,153,212.7,5
174,WAS,"Jacory Croskey-Merritt",RB,17,12.06,12,0%,44%,106.7,122,124,264.3,4.8
175,SEA,"Zach Charbonnet",RB,7,12.12,8,0%,62%,50.8,96,68,149.1,4.7
176,BAL,"Tyler Loop",K,17,435.01,7,0%,0%,143.6,149,153,178.8,4.6
177,BUF,"Buffalo Bills",DEF,17,25.04,7,0%,0%,107.2,76,107,107.2,4.6
178,NE,"Hunter Henry",TE,17,10.05,14,0%,64%,143.9,147,156,198.6,4.2
179,BAL,"Baltimore Ravens",DEF,17,25.05,7,0%,0%,107.3,95,107,107.3,3.7
180,JAC,"Jacksonville Jaguars",DEF,17,24.05,8,0%,0%,105.3,72,105,105.3,3.7
181,JAC,"Brenton Strange",TE,17,11.04,8,0%,39%,141.6,145,156,196,3.4
182,LAR,"Los Angeles Rams",DEF,17,24.02,8,0%,0%,106.8,77,107,106.8,3.3
183,NYJ,"Kenyon Sadiq",TE,17,11.08,9,0%,0%,137.8,131,147,215.4,3.2
184,MIN,"Minnesota Vikings",DEF,17,23.11,6,0%,0%,109.7,78,110,109.7,3.2
185,DET,"Jake Bates",K,17,490.01,8,0%,6%,146.6,150,150,175,3.1
186,CHI,"Cairo Santos",K,17,346.09,5,0%,0%,142.2,145,151,174,2.9
187,DET,"Isiah Pacheco",RB,17,17.08,8,0%,75%,107.9,107,121,248.5,2.9
188,NO,"Juwan Johnson",TE,17,11.03,11,0%,79%,141.5,139,154,195.4,2.8
189,SF,"Eddy Pineiro",K,17,227.02,14,0%,0%,143.7,132,151,172.5,2.8
190,LAR,"Harrison Mevis",K,17,470.10,8,0%,0%,145.1,137,150,175,2.8
191,CLE,"Dylan Sampson",RB,17,15.07,9,0%,35%,110.6,93,127,231.3,2.6
192,GB,"Trey Smack",K,17,384.07,5,0%,0%,143.6,,150,175,2.5
193,LVR,"Jalen Nailor",WR,17,20.04,8,0%,0%,111.4,94,127,231.6,2.5
194,NYG,"Darnell Mooney",WR,17,19.12,14,0%,94%,112.9,103,125,232.1,2.4
195,WAS,"Antonio Williams",WR,17,15.10,12,0%,0%,107.6,116,117,250.3,2.2
196,PIT,"Pittsburgh Steelers",DEF,17,23.05,5,0%,0%,105.5,78,106,105.5,2.2
197,HOU,"Jaylin Noel",WR,17,19.05,6,0%,11%,108.2,56,120,242.8,2.1
198,SEA,"Cooper Kupp",WR,17,21.04,8,0%,94%,109.1,122,121,236.4,1.7
199,JAC,"Chris Rodriguez",RB,17,16.12,8,0%,17%,97.5,94,111,260.5,1.5
200,LVR,"Jack Bech",WR,17,21.07,8,0%,23%,101.9,75,116,249,1.4
201,NO,"Alvin Kamara",RB,17,14.10,11,0%,93%,100.5,111,112,251.3,1
202,NYG,"Isaiah Likely",TE,17,11.12,14,0%,16%,137.5,142,145,202.7,0.8
203,DEN,"Wil Lutz",K,17,292.03,12,0%,0%,144.9,145,148,171.6,0.7
204,LAC,"Los Angeles Chargers",DEF,17,24.03,12,0%,0%,103.8,70,104,103.8,0.7
205,KC,"Harrison Butker",K,17,276.03,10,0%,0%,144.9,145,148,170.1,0.2
206,NO,"Charlie Smyth",K,17,484.11,11,0%,0%,143.5,,148,170.1,0
