Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
95,GB,"Jayden Reed",WR,17,12.05,5,0%,12%,172.1,163,198,261.1,22.5
96,TEN,"Carnell Tate",WR,17,7.02,10,0%,0%,162.1,185,195,273.5,22.5
97,NO,"Jordyn Tyson",WR,17,8.02,11,0%,0%,160,176,195,275.2,22.5
98,ARI,"Jacoby Brissett",QB,13,14.03,8,0%,6%,235.8,212,248,384.8,22.4
99,IND,"Alec Pierce",WR,17,10.02,11,0%,94%,171.4,158,197,262,22.3
100,CAR,"Bryce Young",QB,17,8.03,14,0%,20%,240.1,236,243,390.5,22.2
101,MIN,"Jordan Addison",WR,17,10.11,6,0%,77%,167.1,163,197,261.5,21.9
102,PIT,"Jaylen Warren",RB,17,7.11,5,0%,91%,172.8,180,203,264.3,21.7
103,NYJ,"Geno Smith",QB,16,16.05,9,0%,64%,231.4,242,241,390.6,21.6
104,LVR,"Fernando Mendoza",QB,13,4.03,8,0%,0%,232.8,246,238,391.9,21.2
105,SF,"Ricky Pearsall",WR,17,10.01,14,0%,46%,156.2,164,193,266.1,20.9
106,JAC,"Brian Thomas Jr.",WR,17,9.03,8,0%,46%,161.7,195,186,276.9,20.9
107,CLE,"Deshaun Watson",QB,8,22.03,9,0%,9%,114.8,49,121,247.8,20.7
108,DAL,"Jake Ferguson",TE,17,10.09,10,0%,83%,194.4,192,200,242.5,20.3
109,HOU,"David Montgomery",RB,17,7.10,6,0%,94%,161.3,190,188,273.8,19
110,NE,"Rhamondre Stevenson",RB,17,8.11,14,0%,93%,164.9,171,185,274.2,18.9
111,BUF,"Dalton Kincaid",TE,17,9.06,7,0%,77%,178.8,179,192,259.6,18.6
112,CAR,"Chuba Hubbard",RB,17,9.11,14,0%,82%,153.7,190,181,284,18.3
113,TB,"Chris Godwin",WR,17,10.03,9,0%,94%,154.9,178,182,258.8,17.9
114,TEN,"Tony Pollard",RB,17,9.08,10,0%,51%,164.8,181,181,271.6,17.9
115,JAC,"Bhayshul Tuten",RB,17,6.11,8,0%,16%,147.1,159,171,299.3,17.5
116,NE,"Romeo Doubs",WR,17,12.03,14,0%,90%,154.5,156,186,245.7,17.4
117,LAC,"Quentin Johnston",WR,17,11.09,12,0%,86%,148.4,141,183,247.4,16.6
118,ARI,"Michael Wilson",WR,17,8.12,8,0%,58%,149.2,154,178,255.7,16.3
119,IND,"Josh Downs",WR,17,13.12,11,0%,91%,151.2,162,174,260.6,16.1
120,PHI,"Dallas Goedert",TE,17,10.06,9,0%,70%,175.8,177,191,248.4,16
121,CLE,"KC Concepcion",WR,17,13.05,9,0%,0%,146.3,148,176,257.4,16
122,PHI,"Makai Lemon",WR,17,9.01,9,0%,0%,145.8,138,172,267.6,16
123,BAL,"Mark Andrews",TE,17,10.08,7,0%,49%,174.4,175,190,252.1,15.9
124,UNS,"Stefon Diggs",WR,17,12.01,18,-,47%,132.8,175,184,249,15.9
125,ATL,"Michael Penix Jr.",QB,9,13.06,5,0%,20%,124.8,167,127,230.5,15.9
126,ATL,"Tua Tagovailoa",QB,8,13.01,5,0%,28%,109.7,140,113,212.7,15.7
127,KC,"Xavier Worthy",WR,17,12.08,10,0%,75%,142.8,169,176,252.2,15.2
128,TEN,"Wan'Dale Robinson",WR,17,11.05,10,0%,45%,153.3,155,172,251.4,15.1
129,DEN,"RJ Harvey",RB,17,6.08,12,0%,41%,144.3,163,168,280.2,15
130,PIT,"Rico Dowdle",RB,17,9.09,5,0%,48%,151.3,153,170,270.3,14.9
131,HOU,"Jayden Higgins",WR,17,13.02,6,0%,16%,145.3,147,169,261.9,14.9
