"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"82",8,"Nick Emmanwori",SEA,"S24","31","31","31.0","0.0","-"
"83",8,"Kam Curl",LAR,"S25","32","32","32.0","0.0","-"
"84",8,"Jack Sanborn",CHI,"LB45","68","70","69.0","1.0","-"
"85",8,"Christian Rozeboom",TB,"LB46","69","70","69.5","0.5","-"
"86",8,"DeForest Buckner",IND,"DT2","71","98","80.0","12.7","-"
"87",8,"Devin Bush Jr.",CHI,"LB47","39","39","39.0","0.0","-"
"88",8,"Talanoa Hufanga",DEN,"S26","66","94","81.3","11.6","-"
"89",8,"Caleb Downs",DAL,"S27","44","44","44.0","0.0","-"
"90",8,"Dillon Thieneman",CHI,"S28","45","45","45.0","0.0","-"
"91",9,"Josh Sweat",ARI,"DE14","46","46","46.0","0.0","-"
"92",9,"Laiatu Latu",IND,"DE15","47","47","47.0","0.0","-"
"93",9,"Jonathan Greenard",PHI,"DE16","67","116","88.0","20.6","-"
"94",9,"DeMarcus Lawrence",SEA,"DE17","48","48","48.0","0.0","-"
"95",9,"Devon Witherspoon",SEA,"CB1","73","113","87.3","18.2","-"
"96",9,"Cameron Heyward",PIT,"DT3","49","49","49.0","0.0","-"
"97",9,"Abdul Carter",NYG,"DT4","50","50","50.0","0.0","-"
"98",9,"Jalen Thompson",DAL,"S29","74","120","90.3","21.0","-"
"99",9,"Arvell Reese",NYG,"LB48","51","51","51.0","0.0","-"
"100",9,"Demetrius Knight Jr.",CIN,"LB49","79","87","84.3","3.8","-"
"101",9,"Payton Wilson",PIT,"LB50","56","97","76.5","20.5","-"
"102",9,"Mack Wilson Sr.",ARI,"LB51","75","104","85.7","13.0","-"
"103",9,"CJ Allen",IND,"LB52","53","53","53.0","0.0","-"
"104",9,"Kenneth Murray Jr.",FA,"LB53","72","83","77.5","5.5","-"
"105",9,"Cam Bynum",IND,"S30","77","80","78.5","1.5","-"
"106",9,"Tyrice Knight",SEA,"LB54","78","79","78.5","0.5","-"
"107",9,"Josiah Trotter",TB,"LB55","59","59","59.0","0.0","-"
"108",9,"Josh Hines-Allen",JAC,"DE18","71","92","81.5","10.5","-"
"109",9,"Jordan Hicks",FA,"LB56","82","82","82.0","0.0","-"
"110",9,"Tykee Smith",TB,"S31","64","64","64.0","0.0","-"
"111",9,"Rueben Bain Jr.",TB,"DE19","69","69","69.0","0.0","-"
"112",9,"Jihaad Campbell",PHI,"LB57","87","95","90.3","3.4","-"
"113",9,"David Bailey",NYJ,"EDGE1","70","70","70.0","0.0","-"
"114",9,"Montez Sweat",CHI,"DE20","72","72","72.0","0.0","-"
"115",9,"Chase Young",NO,"DE21","74","74","74.0","0.0","-"
"116",9,"Dallas Turner",MIN,"DE22","75","75","75.0","0.0","-"
"117",9,"Leonard Williams",SEA,"DT5","83","93","88.0","5.0","-"
"118",10,"Zach Allen",DEN,"DE23","88","90","89.0","1.0","-"
"119",10,"Xavier Watts",ATL,"S32","79","79","79.0","0.0","-"
"120",10,"Kamari Lassiter",HOU,"CB2","81","81","81.0","0.0","-"
"121",10,"Cooper DeJean",PHI,"CB3","82","82","82.0","0.0","-"
"122",10,"Carl Granderson",NO,"DE24","84","84","84.0","0.0","-"
"123",10,"Travis Hunter",JAC,"CB4","84","84","84.0","0.0","-"
"124",10,"Nakobe Dean",LV,"LB58","85","85","85.0","0.0","-"
"125",10,"Kerby Joseph",DET,"S33","91","96","93.5","2.5","-"
"126",10,"Eric Wilson",MIN,"LB59","88","88","88.0","0.0","-"
"127",10,"Harold Landry III",NE,"LB60","90","99","94.5","4.5","-"
"128",10,"Harrison Smith",FA,"S34","89","89","89.0","0.0","-"
"129",10,"Kyle Dugger",CIN,"S35","89","89","89.0","0.0","-"
"130",10,"Jordan Davis",PHI,"DT6","91","91","91.0","0.0","-"
"131",10,"Micah McFadden",NYG,"LB61","91","91","91.0","0.0","-"
"132",10,"Yaya Diaby",TB,"DE25","92","92","92.0","0.0","-"
"133",10,"Paulson Adebo",NYG,"CB5","92","129","110.5","18.5","-"
"134",10,"Matt Milano",FA,"LB62","93","93","93.0","0.0","-"
"135",10,"Jalen Carter",PHI,"DT7","93","93","93.0","0.0","-"
"136",10,"Dexter Lawrence II",CIN,"DT8","94","94","94.0","0.0","-"
"137",10,"George Karlaftis III",KC,"DE26","95","95","95.0","0.0","-"
"138",10,"Quinnen Williams",DAL,"DT9","96","96","96.0","0.0","-"
"139",11,"Jaelan Phillips",CAR,"DE27","97","97","97.0","0.0","-"
"140",11,"Drake Thomas",SEA,"LB63","99","99","99.0","0.0","-"
"141",11,"Travon Walker",JAC,"DE28","100","100","100.0","0.0","-"
"142",11,"Akeem Davis-Gaither",IND,"LB64","101","101","101.0","0.0","-"
"143",11,"Leo Chenal",WAS,"LB65","103","103","103.0","0.0","-"
"144",11,"DeMarvion Overshown",DAL,"LB66","105","105","105.0","0.0","-"
"145",11,"Anthony Hill Jr.",TEN,"LB67","106","106","106.0","0.0","-"
"146",11,"Jalon Walker",ATL,"LB68","107","107","107.0","0.0","-"
"147",11,"Jermaine Johnson II",TEN,"DE29","108","108","108.0","0.0","-"
"148",11,"Walter Nolen III",ARI,"DT10","109","109","109.0","0.0","-"
"149",11,"Bradley Chubb",BUF,"LB69","110","110","110.0","0.0","-"
"150",11,"Alontae Taylor",TEN,"CB6","111","111","111.0","0.0","-"
"151",11,"Riley Moss",DEN,"CB7","112","112","112.0","0.0","-"
"152",11,"Chamarri Conner",KC,"S36","114","114","114.0","0.0","-"
"153",11,"Nick Herbig",PIT,"LB70","115","115","115.0","0.0","-"
"154",11,"Cameron Jordan",FA,"DE30","117","117","117.0","0.0","-"
"155",11,"Khalil Mack",LAC,"LB71","118","118","118.0","0.0","-"
"156",11,"Cole Bishop",BUF,"S37","121","121","121.0","0.0","-"
