"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"214",12,"Cade Otton",TB,"TE29","178","246","220.1","17.0","-"
"215",12,"Tank Dell",HOU,"WR84","185","247","212.1","15.8","-"
"216",12,"Zachariah Branch",ATL,"WR85","176","259","226.8","21.9","-"
"217",12,"Kaleb Johnson",PIT,"RB69","155","291","214.7","29.3","-"
"218",12,"Ja'Kobi Lane",BAL,"WR86","201","291","228.5","29.7","-"
"219",12,"Trey Benson",ARI,"RB70","134","290","211.5","41.9","-"
"220",12,"Elic Ayomanor",TEN,"WR87","173","307","212.3","32.7","-"
"221",12,"Colby Parkinson",LAR,"TE30","182","273","226.8","18.5","-"
"222",12,"Elijah Sarratt",BAL,"WR88","191","331","230.6","25.6","-"
"223",12,"Adam Randall",BAL,"RB71","208","277","232.2","20.3","-"
"224",12,"Chris Brazzell II",CAR,"WR89","180","284","232.9","19.4","-"
"225",12,"Mason Taylor",NYJ,"TE31","190","324","225.7","25.8","-"
"226",12,"Pat Freiermuth",PIT,"TE32","194","257","225.7","13.3","-"
"227",12,"Skyler Bell",BUF,"WR90","189","319","235.0","34.5","-"
"228",12,"Jalen Nailor",LV,"WR91","160","300","213.8","37.7","-"
"229",13,"Malachi Fields",NYG,"WR92","194","323","236.4","27.8","-"
"230",13,"Rashod Bateman",BAL,"WR93","183","263","220.3","19.9","-"
"231",13,"Kendre Miller",NO,"RB72","165","304","222.0","31.9","-"
"232",13,"Najee Harris",LAC,"RB73","171","266","218.1","22.5","-"
"233",13,"Malik Washington",MIA,"WR94","170","281","226.3","29.7","-"
"234",13,"Kyle Williams",NE,"WR95","190","264","218.1","20.1","-"
"235",13,"Tory Horton",SEA,"WR96","209","297","231.0","18.1","-"
"236",13,"Evan Engram",DEN,"TE33","188","267","233.0","18.3","-"
"237",13,"Cooper Kupp",SEA,"WR97","193","285","235.0","20.3","-"
"238",13,"Jack Bech",LV,"WR98","197","337","239.8","25.7","-"
"239",13,"Ted Hurst",TB,"WR99","213","310","250.1","21.0","-"
"240",13,"Isaiah Davis",NYJ,"RB74","198","269","227.5","17.0","-"
"241",13,"Christian Kirk",SF,"WR100","179","278","232.3","25.6","-"
"242",13,"Keon Coleman",BUF,"WR101","193","292","227.4","22.1","-"
"243",13,"Brashard Smith",KC,"RB75","214","279","237.4","16.3","-"
"244",13,"Marvin Mims Jr.",DEN,"WR102","201","271","229.7","21.4","-"
"245",13,"Theo Johnson",NYG,"TE34","182","267","230.2","23.0","-"
"246",13,"Ty Johnson",BUF,"RB76","213","284","240.5","17.4","-"
"247",13,"Jake Tonges",SF,"TE35","190","315","237.1","25.4","-"
"248",13,"Joe Mixon",FA,"RB77","162","289","235.9","35.5","-"
"249",13,"Kirk Cousins",LV,"QB35","87","292","183.3","40.8","-"
"250",13,"Deshaun Watson",CLE,"QB36","94","287","172.5","42.6","-"
"251",13,"Mack Hollins",NE,"WR103","203","277","234.2","20.3","-"
"252",13,"Keenan Allen",LAC,"WR104","195","260","241.0","15.0","-"
"253",13,"Jordan James",SF,"RB78","188","294","245.8","33.3","-"
"254",13,"Jaydon Blue",DAL,"RB79","204","299","241.8","23.6","-"
"255",13,"Jerome Ford",WAS,"RB80","220","271","248.0","15.9","-"
"256",13,"DJ Giddens",IND,"RB81","192","287","244.2","20.8","-"
"257",13,"Xavier Legette",CAR,"WR105","205","278","240.3","22.6","-"
"258",13,"J.J. McCarthy",MIN,"QB37","76","278","170.1","54.0","-"
"259",13,"Isaac Guerendo",SF,"RB82","212","292","249.8","23.2","-"
"260",13,"Justice Hill",BAL,"RB83","213","270","250.9","16.8","-"
"261",13,"Devin Singletary",NYG,"RB84","191","280","251.0","20.3","-"
"262",13,"Darius Slayton",NYG,"WR106","218","269","245.2","15.8","-"
"263",13,"George Holani",SEA,"RB85","201","277","250.2","17.2","-"
"264",13,"Chris Brooks",GB,"RB86","212","271","250.5","16.3","-"
"265",13,"Devaughn Vele",NO,"WR107","230","272","251.4","11.9","-"
"266",13,"Max Klare",LAR,"TE36","233","317","273.7","26.0","-"
"267",13,"Emari Demercado",KC,"RB87","220","282","257.4","18.7","-"
"268",13,"Seth McGowan",IND,"RB88","252","304","274.9","11.8","-"
"269",13,"Malik Davis",DAL,"RB89","225","285","251.1","19.3","-"
"270",13,"LeQuint Allen Jr.",JAC,"RB90","212","290","257.4","17.3","-"
"271",13,"MarShawn Lloyd",GB,"RB91","204","282","253.9","19.4","-"
"272",13,"Jaleel McLaughlin",DEN,"RB92","212","295","249.9","24.0","-"
"273",13,"Samaje Perine",CIN,"RB93","179","294","262.2","24.2","-"
"274",13,"Greg Dulcich",MIA,"TE37","173","267","219.9","24.8","-"
"275",13,"Mike Gesicki",CIN,"TE38","200","284","242.2","21.6","-"
"276",13,"Hollywood Brown",PHI,"WR108","228","308","260.9","14.8","-"
"277",14,"Tyquan Thornton",KC,"WR109","180","328","256.6","27.9","-"
"278",14,"Mac Jones",SF,"QB38","127","282","197.6","42.3","-"
"279",14,"Isaiah Bond",CLE,"WR110","224","327","257.3","23.0","-"
"280",14,"Trevor Etienne",CAR,"RB94","238","299","270.1","15.6","-"
"281",14,"Jarquez Hunter",LAR,"RB95","235","317","270.4","20.4","-"
"282",14,"Audric Estime",NO,"RB96","229","298","267.9","18.6","-"
"283",14,"Oscar Delp",NO,"TE39","245","341","297.8","32.3","-"
"284",14,"Tahj Brooks",CIN,"RB97","251","296","276.2","8.5","-"
"285",14,"Andrei Iosivas",CIN,"WR111","222","291","255.7","20.2","-"
"286",14,"Kareem Hunt",FA,"RB98","258","303","274.1","11.1","-"
"287",14,"Cedric Tillman",CLE,"WR112","250","335","275.0","23.8","-"
"288",14,"Kaelon Black",SF,"RB99","190","274","228.6","29.8","-"
"289",14,"Luke McCaffrey",WAS,"WR113","240","302","267.1","16.6","-"
"290",14,"Konata Mumpfield",LAR,"WR114","234","306","262.8","20.0","-"
"291",14,"Bam Knight",ARI,"RB100","226","317","272.8","25.3","-"
"292",14,"Calvin Austin III",NYG,"WR115","238","332","269.9","25.5","-"
"293",14,"Tez Johnson",TB,"WR116","251","326","269.5","18.1","-"
"294",14,"Will Shipley",PHI,"RB101","271","311","282.9","11.2","-"
"295",14,"Justin Fields",KC,"QB39","86","244","175.8","50.8","-"
"296",14,"Jalen Royals",KC,"WR117","245","300","269.2","16.2","-"
"297",14,"Nick Chubb",FA,"RB102","270","315","282.8","10.9","-"
"298",14,"Jahan Dotson",ATL,"WR118","178","294","260.6","31.6","-"
"299",14,"Michael Carter",TEN,"RB103","271","318","283.6","16.3","-"
"300",14,"Anthony Richardson Sr.",IND,"QB40","178","284","220.6","49.8","-"
"301",14,"Austin Ekeler",FA,"RB104","273","312","283.6","10.8","-"
"302",15,"Dont'e Thornton Jr.",LV,"WR119","253","309","269.0","18.7","-"
"303",15,"Joshua Palmer",BUF,"WR120","257","333","288.4","25.0","-"
"304",15,"Tyler Higbee",LAR,"TE40","204","297","271.2","30.8","-"
"305",15,"Savion Williams",GB,"WR121","251","329","286.4","22.0","-"
"306",15,"Bryce Lance",NO,"WR122","243","310","277.8","22.8","-"
"307",15,"Caleb Douglas",MIA,"WR123","217","301","279.8","29.2","-"
"308",15,"Treylon Burks",WAS,"WR124","187","307","268.4","48.1","-"
"309",15,"Joe Milton III",DAL,"QB41","184","302","223.3","55.6","-"
"310",15,"Olamide Zaccheaus",ATL,"WR125","264","322","291.4","18.9","-"
"311",15,"Tommy Myers",FA,"TE41","227","314","255.0","34.8","-"
"312",15,"Noah Gray",KC,"TE42","267","319","292.4","17.4","-"
"313",15,"Brenen Thompson",LAC,"WR126","244","311","284.7","21.4","-"
"314",15,"John Metchie III",CAR,"WR127","261","341","293.0","28.8","-"
"315",15,"Kevin Coleman Jr.",MIA,"WR128","174","325","277.0","55.8","-"
"316",15,"Justin Joly",DEN,"TE43","246","333","287.8","28.5","-"
"317",15,"John Bates",WAS,"TE44","240","316","265.8","31.0","-"
"318",15,"Xavier Hutchinson",HOU,"WR129","263","324","291.3","23.8","-"
