"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"126",10,"Michael Pittman Jr.",PIT,"WR45","119","148","131.1","6.8","-"
"127",10,"Jayden Reed",GB,"WR46","114","156","132.2","10.5","-"
"128",10,"Tyler Allgeier",ARI,"RB40","104","166","132.7","15.4","-"
"129",10,"Jayden Higgins",HOU,"WR47","121","156","134.6","9.6","-"
"130",10,"Travis Kelce",KC,"TE13","109","174","135.7","18.5","-"
"131",10,"Woody Marks",HOU,"RB41","104","175","136.5","19.2","-"
"132",10,"Chris Rodriguez Jr.",JAC,"RB42","103","185","136.8","22.9","-"
"133",10,"Jake Ferguson",DAL,"TE14","120","164","138.8","16.9","-"
"134",10,"Wan'Dale Robinson",TEN,"WR48","123","168","139.0","9.2","-"
"135",10,"Kenneth Gainwell",TB,"RB43","126","153","139.1","7.0","-"
"136",10,"Rachaad White",WAS,"RB44","113","162","139.4","12.2","-"
"137",10,"Tyrone Tracy Jr.",NYG,"RB45","128","165","141.2","8.0","-"
"138",10,"Romeo Doubs",NE,"WR49","114","191","142.6","17.2","-"
"139",10,"KC Concepcion",CLE,"WR50","100","201","143.5","25.6","-"
"140",10,"Xavier Worthy",KC,"WR51","117","170","143.6","11.9","-"
"141",10,"Josh Downs",IND,"WR52","123","179","145.3","12.9","-"
"142",10,"Isaiah Likely",NYG,"TE15","112","194","145.4","22.6","-"
"143",10,"Mark Andrews",BAL,"TE16","120","174","147.2","16.3","-"
"144",10,"Jonathon Brooks",CAR,"RB46","110","209","148.8","27.1","-"
"145",10,"Khalil Shakir",BUF,"WR53","127","173","150.3","10.5","-"
"146",10,"Hunter Henry",NE,"TE17","123","182","152.8","11.7","-"
"147",10,"Jonah Coleman",DEN,"RB47","126","215","153.4","21.8","-"
"148",10,"Jalen Coker",CAR,"WR54","131","173","154.9","11.3","-"
"149",10,"Brenton Strange",JAC,"TE18","120","198","155.7","18.7","-"
"150",10,"Isiah Pacheco",DET,"RB48","134","181","155.9","8.7","-"
"151",10,"Brandon Aiyuk",SF,"WR55","121","242","156.3","28.0","-"
"152",10,"Braelon Allen",NYJ,"RB49","122","179","156.6","13.8","-"
"153",10,"Denzel Boston",CLE,"WR56","108","220","157.3","28.3","-"
"154",10,"Juwan Johnson",NO,"TE19","124","194","157.7","18.6","-"
"155",10,"James Conner",ARI,"RB50","113","225","157.8","26.5","-"
"156",10,"Matthew Golden",GB,"WR57","128","195","159.1","18.8","-"
"157",10,"Shedeur Sanders",CLE,"QB31","76","268","138.5","40.5","-"
"158",11,"Keaton Mitchell",LAC,"RB51","143","209","161.2","13.4","-"
"159",11,"Alvin Kamara",NO,"RB52","132","209","161.2","20.1","-"
"160",11,"Kenyon Sadiq",NYJ,"TE20","114","207","161.5","31.9","-"
"161",11,"Tank Bigsby",PHI,"RB53","145","185","161.6","9.5","-"
"162",11,"Brian Robinson Jr.",ATL,"RB54","145","188","162.3","10.8","-"
"163",11,"Omar Cooper Jr.",NYJ,"WR58","128","253","162.6","29.9","-"
"164",11,"Rashid Shaheed",SEA,"WR59","146","182","163.1","12.4","-"
"165",11,"Tyjae Spears",TEN,"RB55","151","192","163.4","9.2","-"
"166",11,"Dylan Sampson",CLE,"RB56","143","204","165.8","15.1","-"
"167",11,"Jauan Jennings",MIN,"WR60","117","205","156.7","23.7","-"
"168",11,"Deebo Samuel Sr.",FA,"WR61","144","224","170.7","19.0","-"
"169",11,"Emanuel Wilson",SEA,"RB57","130","195","170.8","16.4","-"
"170",11,"Mike Washington Jr.",LV,"RB58","145","272","171.0","25.3","-"
"171",11,"Stefon Diggs",FA,"WR62","109","265","159.9","29.4","-"
"172",11,"Emmett Johnson",KC,"RB59","139","264","174.0","26.2","-"
"173",11,"Kayshon Boutte",NE,"WR63","158","195","174.4","8.7","-"
"174",11,"Adonai Mitchell",NYJ,"WR64","152","221","176.9","16.8","-"
"175",11,"Jerry Jeudy",CLE,"WR65","156","217","177.9","14.3","-"
"176",11,"Nick Singleton",TEN,"RB60","131","261","179.5","33.0","-"
"177",11,"Travis Hunter",JAC,"WR66","128","236","180.7","20.8","-"
"178",11,"Kaytron Allen",WAS,"RB61","138","269","183.4","28.6","-"
"179",11,"Kimani Vidal",LAC,"RB62","155","212","184.3","16.9","-"
"180",11,"Antonio Williams",WAS,"WR67","130","271","185.2","41.1","-"
"181",11,"Dalton Schultz",HOU,"TE21","164","215","186.5","13.8","-"
"182",11,"Jalen McMillan",TB,"WR68","158","213","186.8","15.3","-"
"183",11,"Aaron Rodgers",FA,"QB32","36","183","120.0","34.1","-"
"184",11,"Jaylen Wright",MIA,"RB63","160","238","189.8","17.3","-"
"185",11,"Tyreek Hill",FA,"WR69","129","302","179.4","33.5","-"
"186",11,"Troy Franklin",DEN,"WR70","152","226","191.7","18.9","-"
"187",11,"Terrance Ferguson",LAR,"TE22","174","228","192.5","12.5","-"
"188",11,"Ray Davis",BUF,"RB64","166","214","193.5","13.0","-"
"189",11,"AJ Barner",SEA,"TE23","152","215","194.1","11.0","-"
"190",11,"Chig Okonkwo",WAS,"TE24","147","233","194.9","24.7","-"
"191",11,"Isaac TeSlaa",DET,"WR71","176","270","190.8","18.3","-"
"192",11,"Tua Tagovailoa",ATL,"QB33","35","277","151.1","41.9","-"
"193",12,"Sean Tucker",TB,"RB65","173","253","197.7","16.6","-"
"194",12,"Tre Tucker",LV,"WR72","156","271","195.0","18.5","-"
"195",12,"Tre Harris",LAC,"WR73","169","251","195.3","15.7","-"
"196",12,"T.J. Hockenson",MIN,"TE25","182","223","202.8","10.7","-"
"197",12,"Calvin Ridley",TEN,"WR74","168","322","203.2","27.2","-"
"198",12,"Eli Stowers",PHI,"TE26","161","324","205.4","29.3","-"
"199",12,"Jaylin Noel",HOU,"WR75","166","236","197.0","15.9","-"
"200",12,"Demond Claiborne",MIN,"RB66","162","254","209.8","29.3","-"
"201",12,"Germie Bernard",PIT,"WR76","156","270","211.4","30.2","-"
"202",12,"Ryan Flournoy",DAL,"WR77","188","292","207.6","20.0","-"
"203",12,"Ollie Gordon II",MIA,"RB67","197","235","212.3","8.4","-"
"204",12,"Chimere Dike",TEN,"WR78","167","255","202.8","28.3","-"
"205",12,"Tank Dell",HOU,"WR79","160","248","202.9","24.2","-"
"206",12,"Ty Simpson",LAR,"QB34","183","297","213.3","44.4","-"
"207",12,"Pat Bryant",DEN,"WR80","188","259","209.1","15.2","-"
"208",12,"Darnell Mooney",NYG,"WR81","168","244","205.3","15.7","-"
"209",12,"Elic Ayomanor",TEN,"WR82","173","311","210.5","32.4","-"
"210",12,"Kendre Miller",NO,"RB68","165","293","217.8","29.1","-"
"211",12,"Dontayvion Wicks",PHI,"WR83","179","237","214.1","15.3","-"
"212",12,"Kaleb Johnson",PIT,"RB69","160","296","218.7","29.7","-"
"213",12,"Elijah Sarratt",BAL,"WR84","191","330","219.0","28.8","-"
"214",12,"Chris Bell",MIA,"WR85","144","323","220.4","43.5","-"
"215",12,"De'Zhaun Stribling",SF,"WR86","171","278","222.2","30.2","-"
"216",12,"Devin Neal",NO,"RB70","168","314","222.2","30.6","-"
"217",12,"David Njoku",FA,"TE27","200","246","222.6","13.3","-"
"218",12,"Zachariah Branch",ATL,"WR87","172","269","223.3","25.8","-"
"219",12,"Gunnar Helm",TEN,"TE28","203","258","224.6","12.8","-"
"220",12,"Kyle Williams",NE,"WR88","186","262","212.1","21.8","-"
"221",12,"Ja'Kobi Lane",BAL,"WR89","191","285","225.9","32.3","-"
"222",12,"Colby Parkinson",LAR,"TE29","197","267","226.6","13.5","-"
"223",12,"Pat Freiermuth",PIT,"TE30","200","264","226.9","12.8","-"
"224",12,"Chris Brazzell II",CAR,"WR90","172","284","227.0","25.7","-"
"225",12,"Rashod Bateman",BAL,"WR91","188","256","219.0","18.1","-"
"226",12,"Adam Randall",BAL,"RB71","202","280","227.9","24.4","-"
"227",12,"Trey Benson",ARI,"RB72","151","291","222.1","40.2","-"
"228",12,"Theo Johnson",NYG,"TE31","185","259","228.0","21.5","-"
"229",12,"Malachi Fields",NYG,"WR92","182","325","233.0","32.8","-"
"230",12,"Skyler Bell",BUF,"WR93","173","319","233.2","38.2","-"
"231",12,"Jalen Nailor",LV,"WR94","169","300","221.4","39.1","-"
"232",12,"Tory Horton",SEA,"WR95","196","288","225.9","21.8","-"
"233",12,"Najee Harris",LAC,"RB73","179","266","217.4","20.4","-"
"234",12,"Cade Otton",TB,"TE32","205","258","231.1","13.8","-"
"235",12,"Mason Taylor",NYJ,"TE33","208","329","239.9","24.0","-"
"236",13,"Keon Coleman",BUF,"WR96","199","292","230.1","22.3","-"
"237",13,"Isaiah Davis",NYJ,"RB74","205","271","232.0","15.7","-"
"238",13,"Marvin Mims Jr.",DEN,"WR97","203","274","233.2","21.8","-"
"239",13,"Ted Hurst",TB,"WR98","179","308","244.5","28.1","-"
"240",13,"Evan Engram",DEN,"TE34","204","286","245.5","17.9","-"
"241",13,"Jaydon Blue",DAL,"RB75","202","291","236.2","24.4","-"
"242",13,"Malik Washington",MIA,"WR99","194","286","243.2","24.3","-"
"243",13,"Cooper Kupp",SEA,"WR100","196","285","240.1","18.6","-"
"244",13,"Ty Johnson",BUF,"RB76","209","284","236.8","16.9","-"
"245",13,"Kirk Cousins",LV,"QB35","37","292","167.5","53.3","-"
"246",13,"Christian Kirk",SF,"WR101","195","278","242.2","18.6","-"
"247",13,"Deshaun Watson",CLE,"QB36","38","287","169.2","56.0","-"
"248",13,"Devin Singletary",NYG,"RB77","197","280","242.5","19.6","-"
"249",13,"DJ Giddens",IND,"RB78","186","290","239.3","21.5","-"
"250",13,"Jordan James",SF,"RB79","168","292","239.4","37.6","-"
"251",13,"Keenan Allen",LAC,"WR102","201","272","241.9","17.8","-"
"252",13,"Isaac Guerendo",SF,"RB80","202","284","242.1","21.1","-"
"253",13,"Jake Tonges",SF,"TE35","193","316","239.0","25.1","-"
"254",13,"Brashard Smith",KC,"RB81","216","279","246.0","14.9","-"
"255",13,"Mack Hollins",NE,"WR103","204","286","238.6","22.0","-"
"256",13,"MarShawn Lloyd",GB,"RB82","190","279","247.9","22.4","-"
"257",13,"Malik Davis",DAL,"RB83","214","283","244.3","21.4","-"
"258",13,"Jack Bech",LV,"WR104","215","341","255.3","22.4","-"
"259",13,"Darius Slayton",NYG,"WR105","213","266","244.9","15.6","-"
"260",13,"Xavier Legette",CAR,"WR106","208","288","245.8","23.6","-"
"261",13,"Max Klare",LAR,"TE36","223","306","262.5","24.3","-"
"262",13,"Joe Mixon",FA,"RB84","157","288","232.5","35.1","-"
"263",13,"George Holani",SEA,"RB85","206","279","250.2","16.2","-"
"264",13,"Chris Brooks",GB,"RB86","213","282","253.4","18.0","-"
