Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
124,NO,"Juwan Johnson",TE,17,10.04,11,0%,79%,170.5,168,185,235.3,11.5
125,NYJ,"Kenyon Sadiq",TE,17,8.06,9,0%,0%,164.8,159,175,257.8,11.3
126,HOU,"C.J. Stroud",QB,17,20.05,6,0%,30%,269.3,260,281,387.2,10.7
127,LAC,"Quentin Johnston",WR,17,10.09,12,0%,86%,148.4,141,183,247.4,10.7
128,HOU,"Woody Marks",RB,17,11.05,6,0%,0%,119.7,93,132,244.7,10.6
129,LAC,"Cameron Dicker",K,17,15.04,12,0%,6%,150.9,160,170,181.4,10.4
130,WAS,"Jacory Croskey-Merritt",RB,17,10.07,12,0%,44%,106.7,122,124,264.3,10.4
131,ARI,"Michael Wilson",WR,17,7.09,8,0%,58%,149.2,154,178,255.7,10.3
132,SEA,"Zach Charbonnet",RB,7,12.07,8,0%,62%,50.8,96,68,149.1,10.3
133,IND,"Josh Downs",WR,17,12.05,11,0%,91%,151.2,162,174,260.6,10.1
134,CLE,"KC Concepcion",WR,17,10.05,9,0%,0%,146.3,148,176,257.4,10
135,PHI,"Makai Lemon",WR,17,7.08,9,0%,0%,145.8,138,172,267.6,10
136,IND,"Daniel Jones",QB,17,17.10,11,0%,36%,259.5,252,276,394.8,9.9
137,UNS,"Stefon Diggs",WR,17,13.03,18,-,47%,132.8,175,184,249,9.8
138,MIA,"Malik Willis",QB,17,15.01,12,0%,5%,262.5,230,268,404.5,9.4
139,DEN,"Denver Broncos",DEF,17,14.01,12,0%,0%,119.8,88,120,119.8,9.3
140,DET,"Isiah Pacheco",RB,17,15.06,8,0%,75%,107.9,107,121,248.5,9
141,KC,"Xavier Worthy",WR,17,11.09,10,0%,75%,142.8,169,176,252.2,8.9
142,CLE,"Dylan Sampson",RB,17,12.10,9,0%,35%,110.6,93,127,231.3,8.8
143,TEN,"Wan'Dale Robinson",WR,17,9.04,10,0%,45%,153.3,155,172,251.4,8.7
144,HOU,"Jayden Higgins",WR,17,11.08,6,0%,16%,145.3,147,169,261.9,8.5
145,NE,"New England Patriots",DEF,17,16.11,14,0%,0%,114.7,77,115,114.7,8.4
146,HOU,"Houston Texans",DEF,17,11.12,6,0%,0%,117.4,88,117,117.4,8.3
147,SEA,"Seattle Seahawks",DEF,17,13.05,8,0%,0%,117.4,77,117,117.4,8.3
148,UNS,"Brandon Aiyuk",WR,17,12.03,18,-,44%,132.2,145,174,259.1,8.2
