Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
85,CLE,"Quinshon Judkins",RB,17,7.05,9,0%,45%,170.6,167,185,263.3,22.7
86,ARI,"Marvin Harrison Jr.",WR,17,9.07,8,0%,90%,144,161,164,225.8,22.7
87,BUF,"D.J. Moore",WR,17,6.09,7,0%,71%,144.8,154,165,222.2,22.5
88,JAC,"Parker Washington",WR,17,10.04,8,0%,0%,142.1,113,169,213.1,22.4
89,PIT,"Aaron Rodgers",QB,17,19.02,5,0%,39%,254.3,196,259,386.6,22.3
90,DEN,"Courtland Sutton",WR,17,8.06,12,0%,80%,143.4,156,167,215.1,22.2
91,GB,"Jayden Reed",WR,17,12.05,5,0%,12%,143.2,134,165,217.2,21.9
92,TEN,"Carnell Tate",WR,17,7.02,10,0%,0%,133.9,151,161,225.9,21.5
93,NO,"Jordyn Tyson",WR,17,8.02,11,0%,0%,132.2,143,161,227.2,21.5
94,MIN,"Jordan Addison",WR,17,10.11,6,0%,77%,138.4,134,163,216.6,21.1
95,JAC,"Brian Thomas Jr.",WR,17,9.03,8,0%,46%,135,162,155,231.3,20.9
96,JAC,"Jakobi Meyers",WR,17,9.02,8,0%,77%,142.6,145,162,205.8,20.1
97,SF,"Ricky Pearsall",WR,17,10.01,14,0%,46%,129,134,159,219.8,20.1
98,PIT,"Michael Pittman Jr.",WR,17,11.07,5,0%,94%,140.9,144,162,202.5,19.7
99,ARI,"Jacoby Brissett",QB,13,14.03,8,0%,6%,235.8,212,248,384.8,19.5
100,CAR,"Bryce Young",QB,17,8.03,14,0%,20%,240.1,236,243,390.5,19.2
101,SF,"George Kittle",TE,15,11.01,14,0%,53%,89.4,150,149,221.9,19.2
102,HOU,"David Montgomery",RB,17,7.10,6,0%,94%,150.3,174,175,255.1,18.7
103,NYJ,"Geno Smith",QB,16,16.05,9,0%,64%,231.4,242,241,390.6,18.6
104,LVR,"Fernando Mendoza",QB,13,4.03,8,0%,0%,232.8,246,238,391.9,18.3
105,CLE,"Deshaun Watson",QB,8,22.03,9,0%,9%,114.8,49,121,247.8,17.7
106,LAC,"Quentin Johnston",WR,17,11.09,12,0%,86%,124.3,117,154,207.2,17.2
107,NE,"Romeo Doubs",WR,17,12.03,14,0%,90%,127.7,129,154,203.1,17.1
108,TEN,"Tony Pollard",RB,17,9.08,10,0%,51%,152.4,166,167,251.2,17
109,JAC,"Bhayshul Tuten",RB,17,6.11,8,0%,16%,136.8,146,159,278.5,17
110,PIT,"Jaylen Warren",RB,17,7.11,5,0%,91%,150.4,159,177,230.1,16.7
111,CAR,"Chuba Hubbard",RB,17,9.11,14,0%,82%,140,173,165,258.6,16.4
112,ATL,"Kyle Pitts",TE,17,8.07,5,0%,85%,134,136,141,190.4,16.4
113,NE,"Rhamondre Stevenson",RB,17,8.11,14,0%,93%,148.3,155,167,246.6,16.2
114,SEA,"Jadarian Price",RB,17,12.11,8,0%,0%,134.4,164,156,271.9,15.8
115,KC,"Xavier Worthy",WR,17,12.08,10,0%,75%,119.1,139,147,210.2,15.8
116,ARI,"Michael Wilson",WR,17,8.12,8,0%,58%,122.2,125,145,209.5,15.6
117,PHI,"Makai Lemon",WR,17,9.01,9,0%,0%,119.8,113,141,219.9,15.6
118,TB,"Chris Godwin",WR,17,10.03,9,0%,94%,123.8,144,146,206.9,15.5
119,CLE,"KC Concepcion",WR,17,13.05,9,0%,0%,120.1,120,145,211.3,15.5
120,DEN,"J.K. Dobbins",RB,17,10.07,12,0%,47%,138.6,144,161,254.6,15.3
121,HOU,"Jayden Higgins",WR,17,13.02,6,0%,16%,119.7,120,139,215.8,14.8
122,UNS,"Brandon Aiyuk",WR,17,17.07,18,-,44%,108.9,120,143,213.5,14.7
123,UNS,"Stefon Diggs",WR,17,12.01,18,-,47%,107.1,142,149,200.8,14.4
124,DAL,"Brandon Aubrey",K,17,490.06,10,0%,6%,157.4,172,177,190.9,14.3
125,KC,"Travis Kelce",TE,17,11.06,10,0%,65%,125.1,135,145,174.5,14.3
126,IND,"Josh Downs",WR,17,13.12,11,0%,91%,120.8,127,139,208.3,14.1
127,PIT,"Rico Dowdle",RB,17,9.09,5,0%,48%,136.9,137,154,244.6,12.9
128,ATL,"Michael Penix Jr.",QB,9,13.06,5,0%,20%,124.8,167,127,230.5,12.7
129,TEN,"Wan'Dale Robinson",WR,17,11.05,10,0%,45%,121.5,120,137,199.3,12.6
